Material	U	c1	c2	JFP
a-TiO2	3.7755102040816326	1.0	-0.6	4.79712894019006
a-TiO2	3.877551020408164	1.0	-0.6	4.8549441906254165
a-TiO2	3.979591836734694	1.0	-0.6	4.918367631137039
a-TiO2	4.081632653061225	1.0	-0.5877551020408163	4.980004539168756
a-TiO2	4.183673469387755	1.0	-0.5755102040816327	5.01257968395024
a-TiO2	4.285714285714286	1.0	-0.563265306122449	5.042886063980419
a-TiO2	4.387755102040816	1.0	-0.563265306122449	5.072801472001279
a-TiO2	4.489795918367348	1.0	-0.5510204081632653	5.104900054422293
a-TiO2	4.591836734693878	1.0	-0.5510204081632653	5.139113295576311
a-TiO2	4.6938775510204085	1.0	-0.5387755102040817	5.179906001589433
a-TiO2	4.795918367346939	1.0	-0.5387755102040817	5.207162980145581
a-TiO2	4.8979591836734695	1.0	-0.5387755102040817	5.235469697634762
a-TiO2	5.0	1.0	-0.5387755102040817	5.262620627778826
r-TiO2	0.0	1.0	-0.4163265306122449	5.541801416021416
r-TiO2	0.1020408163265306	0.5	-0.4285714285714285	4.21896211364739
r-TiO2	0.2040816326530612	0.5	-0.4897959183673469	3.940538287084768
r-TiO2	0.3061224489795918	0.5	-0.4897959183673469	3.7324684612847943
r-TiO2	0.4081632653061224	0.5	-0.4897959183673469	3.581521391144714
r-TiO2	0.5102040816326531	0.5	-0.5265306122448979	3.2331026654779813
r-TiO2	0.6122448979591837	0.5	-0.5265306122448979	2.870401484768697
r-TiO2	0.7142857142857143	0.5	-0.5510204081632653	2.2869927260741107
r-TiO2	0.8163265306122449	0.5	-0.5265306122448979	2.454532284114828
r-TiO2	0.9183673469387756	0.5	-0.5265306122448979	2.3803100477369106
r-TiO2	1.020408163265306	0.5	-0.5265306122448979	2.3809411547247143
r-TiO2	1.1224489795918369	0.5408163265306123	-0.5510204081632653	1.9555893941918705
r-TiO2	1.2244897959183674	0.5612244897959184	-0.5265306122448979	2.553626451814864
r-TiO2	1.326530612244898	0.6020408163265307	-0.5265306122448979	2.6660049974673483
r-TiO2	1.4285714285714286	0.6020408163265307	-0.5020408163265306	2.701474913556838
