Support	U	c1	c2	DFT_x1	DFT_x2	DFT_x3	DFT_x4	DFT_x5	DFT_x6	DFT_x7	DFT_p1	DFT_p2	DFT_p3	DFT+U_x1	DFT+U_x2	DFT+U_x3	DFT+U_x4	DFT+U_x5	DFT+U_x6	DFT+U_x7	DFT+U_p1	DFT+U_p2	DFT+U_p3	SISSO_x1	SISSO_x2	SISSO_x3	SISSO_x4	SISSO_x5	SISSO_x6	SISSO_x7	SISSO_p1	SISSO_p2	SISSO_p3	R	EN	QN	Subshell	Ion_OE	Auxiliary_type	Auxiliary_zval
a-TiO2	0.5	0.9	-0.1	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.14474	0.12894	0.27951	0.12894	0.25872	0	0	1.655795	1.649135	1.655805	0.125131017	0.126602241	0.27960894	0.116106581	0.241019186	-9.35036E-07	-1.27976E-06	1.651105149	1.581093946	1.645264704	147	1.54	3	5	0	2	2.7
a-TiO2	1	0.9	-0.1	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.14054	0.12449	0.27093	0.12449	0.24717	0	0	1.674235	1.66052	1.67424	0.124691336	0.120468005	0.26300168	0.115736967	0.230456383	-9.35036E-07	-1.27976E-06	1.686883721	1.607612266	1.662298543	147	1.54	3	5	0	2	2.7
a-TiO2	1.5	0.9	-0.1	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.13643	0.12018	0.26189	0.12018	0.23516	0	0	1.69335	1.672645	1.693355	0.124251655	0.114183964	0.246521271	0.114717582	0.219893543	-9.35036E-07	-1.27976E-06	1.702414762	1.626179113	1.679085524	147	1.54	3	5	0	2	2.7
a-TiO2	2	0.9	-0.1	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.13242	0.11602	0.2524	0.11602	0.22282	0	0	1.713125	1.68553	1.71313	0.123811974	0.107570352	0.230319933	0.112726938	0.209330545	-9.35036E-07	-1.27976E-06	1.728658946	1.63938268	1.695413407	147	1.54	3	5	0	2	2.7
a-TiO2	2.5	0.9	-0.1	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.12851	0.11199	0.24252	0.11199	0.2103	0	0	1.733495	1.699165	1.733495	0.123372294	0.100375495	0.214610775	0.10944248	0.198773257	-9.35036E-07	-1.27976E-06	1.735090701	1.648845333	1.711266495	147	1.54	3	5	0	2	2.7
a-TiO2	3	0.9	-0.1	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.12469	0.1081	0.2323	0.1081	0.19775	0	0	1.754395	1.71353	1.754395	0.122932613	0.092275814	0.199667796	0.104541285	0.188205829	-9.35036E-07	-1.27976E-06	1.75573966	1.65564201	1.726660005	147	1.54	3	5	0	2	2.7
a-TiO2	0.5	0.9	-0.5	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.15681	0.13957	0.30496	0.13957	0.28753	0	0	1.62694	1.6292	1.626945	0.130067123	0.126597843	0.344887985	0.099317234	0.290308134	-9.35036E-07	-1.27976E-06	1.63031083	1.558423672	1.631683867	147	1.54	3	5	0	2	2.7
a-TiO2	1	0.9	-0.5	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.15299	0.13605	0.30576	0.13605	0.28821	0	0	1.61467	1.6193	1.614675	0.134563548	0.120397648	0.328344557	0.103657168	0.283223253	-9.35036E-07	-1.27976E-06	1.640392762	1.584941993	1.625053714	147	1.54	3	5	0	2	2.7
a-TiO2	1.5	0.9	-0.5	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.14918	0.13262	0.30669	0.13262	0.28918	0	0	1.60112	1.608725	1.60112	0.139059974	0.113827782	0.312140754	0.105346509	0.276133738	-9.35036E-07	-1.27976E-06	1.630227164	1.603508839	1.618176703	147	1.54	3	5	0	2	2.7
a-TiO2	2	0.9	-0.5	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.14538	0.12929	0.30776	0.12929	0.29047	0	0	1.58616	1.59744	1.58616	0.143556399	0.106444638	0.296684125	0.105182925	0.269024468	-9.35036E-07	-1.27976E-06	1.630774708	1.616712406	1.610840594	147	1.54	3	5	0	2	2.7
