U	c1	c2
4.897959184	0.816326531	-0.465306122
4.693877551	0.775510204	-0.453061224
5.0	0.969387755	-0.551020408
4.489795918	0.867346939	-0.53877551
5.0	0.948979592	-0.53877551
5.0	0.989795918	-0.563265306
4.795918367	0.887755102	-0.453061224
4.591836735	0.867346939	-0.53877551
4.795918367	0.93877551	-0.575510204
5.0	0.979591837	-0.526530612
4.693877551	0.908163265	-0.563265306
4.591836735	0.775510204	-0.453061224
4.693877551	0.795918367	-0.428571429
5.0	0.959183673	-0.514285714
4.591836735	0.836734694	-0.440816327
4.897959184	0.979591837	-0.587755102
4.897959184	0.867346939	-0.514285714
4.489795918	0.795918367	-0.47755102
4.897959184	1.0	-0.6
4.693877551	0.785714286	-0.428571429
4.897959184	0.959183673	-0.575510204
4.591836735	1.0	-0.514285714
5.0	0.928571429	-0.526530612
4.591836735	0.775510204	-0.440816327
5.0	1.0	-0.53877551
4.897959184	0.836734694	-0.489795918
4.693877551	0.887755102	-0.453061224
4.795918367	0.816326531	-0.489795918
