Material	U	c1	c2	R	EN	QN	Subshell	Ion_OE	Auxiliary_type	Auxiliary_zval	DFT_x1	DFT_x2	DFT_x3	DFT_x4	DFT_x5	DFT_x6	DFT_x7	DFT_p1	DFT_p2	DFT_p3
MoO3	2.244897959	0.5	0	145	2.16	4	5	0	0	0	0.54009	0.4931125	0.46878	0.469385	0.52024	0	0	1.566588333	1.405505	1.536796667
MoO3	2.653061224	0.5	0	145	2.16	4	5	0	0	0	0.54009	0.4931125	0.46878	0.469385	0.52024	0	0	1.566588333	1.405505	1.536796667
MoO3	2.755102041	0.5	0	145	2.16	4	5	0	0	0	0.54009	0.4931125	0.46878	0.469385	0.52024	0	0	1.566588333	1.405505	1.536796667
MoO3	2.857142857	0.5	0	145	2.16	4	5	0	0	0	0.54009	0.4931125	0.46878	0.469385	0.52024	0	0	1.566588333	1.405505	1.536796667
MoO3	2.959183673	0.5	0	145	2.16	4	5	0	0	0	0.54009	0.4931125	0.46878	0.469385	0.52024	0	0	1.566588333	1.405505	1.536796667
MoO3	3.06122449	0.5	0	145	2.16	4	5	0	0	0	0.54009	0.4931125	0.46878	0.469385	0.52024	0	0	1.566588333	1.405505	1.536796667
MoO3	3.367346939	0.5	0	145	2.16	4	5	0	0	0	0.54009	0.4931125	0.46878	0.469385	0.52024	0	0	1.566588333	1.405505	1.536796667
Y2O3	1.020408163	0.724489796	-0.012244898	180	1.22	4	5	0	1	4	0.0703275	0.0703275	0.03798	0.070325	0.0379775	0	0	1.74411875	1.744116667	1.74411
Y2O3	1.530612245	0.765306122	-0.012244898	180	1.22	4	5	0	1	4	0.0703275	0.0703275	0.03798	0.070325	0.0379775	0	0	1.74411875	1.744116667	1.74411
Y2O3	1.836734694	0.785714286	-0.012244898	180	1.22	4	5	0	1	4	0.0703275	0.0703275	0.03798	0.070325	0.0379775	0	0	1.74411875	1.744116667	1.74411
Y2O3	2.244897959	0.816326531	-0.134693878	180	1.22	4	5	0	1	4	0.0703275	0.0703275	0.03798	0.070325	0.0379775	0	0	1.74411875	1.744116667	1.74411
Y2O3	2.653061224	0.857142857	-0.208163265	180	1.22	4	5	0	1	4	0.0703275	0.0703275	0.03798	0.070325	0.0379775	0	0	1.74411875	1.744116667	1.74411
Y2O3	2.755102041	0.867346939	-0.232653061	180	1.22	4	5	0	1	4	0.0703275	0.0703275	0.03798	0.070325	0.0379775	0	0	1.74411875	1.744116667	1.74411
Y2O3	2.857142857	0.87755102	-0.244897959	180	1.22	4	5	0	1	4	0.0703275	0.0703275	0.03798	0.070325	0.0379775	0	0	1.74411875	1.744116667	1.74411
