U	c1	c2	JFP
4.489795918	0.928571429	-0.53877551	1.200828259
4.591836735	0.969387755	-0.575510204	1.202274307
3.571428571	0.928571429	-0.6	1.202370357
3.571428571	0.969387755	-0.575510204	1.202512426
3.673469388	0.93877551	-0.575510204	1.203366506
4.591836735	0.897959184	-0.526530612	1.206505516
4.489795918	0.918367347	-0.526530612	1.211763673
4.795918367	0.897959184	-0.489795918	1.212036826
4.489795918	0.93877551	-0.526530612	1.214440721
4.591836735	0.989795918	-0.587755102	1.215190294
4.591836735	0.948979592	-0.563265306	1.21572439
3.673469388	0.989795918	-0.587755102	1.217337086
3.469387755	0.959183673	-0.575510204	1.21945884
4.795918367	0.979591837	-0.526530612	1.221362996
3.673469388	0.959183673	-0.575510204	1.222830558
4.693877551	0.908163265	-0.489795918	1.222944051
3.673469388	0.93877551	-0.587755102	1.224918695
4.489795918	0.979591837	-0.575510204	1.225165107
3.469387755	0.989795918	-0.587755102	1.228223003
4.489795918	0.959183673	-0.563265306	1.22847465
3.367346939	0.928571429	-0.6	1.228754709
3.469387755	0.897959184	-0.575510204	1.236212581
3.571428571	0.93877551	-0.563265306	1.238541046
4.795918367	1	-0.53877551	1.238739086
3.367346939	0.93877551	-0.587755102	1.239927606
3.469387755	0.908163265	-0.563265306	1.241144315
4.591836735	0.948979592	-0.514285714	1.242010971
4.795918367	0.87755102	-0.489795918	1.242701196
4.693877551	0.969387755	-0.575510204	1.243181823
4.795918367	0.959183673	-0.514285714	1.245675824
4.489795918	0.989795918	-0.551020408	1.247463381
3.469387755	0.918367347	-0.563265306	1.248282621
4.489795918	1	-0.587755102	1.248743771
3.571428571	1	-0.587755102	1.248879645
3.673469388	0.948979592	-0.6	1.248898328
3.673469388	0.928571429	-0.575510204	1.251525124
3.367346939	0.928571429	-0.587755102	1.254344224
4.489795918	0.969387755	-0.53877551	1.254666751
4.693877551	0.989795918	-0.587755102	1.255073804
4.693877551	0.948979592	-0.563265306	1.255573524
3.367346939	0.948979592	-0.587755102	1.257256225
4.591836735	0.928571429	-0.551020408	1.258611452
3.571428571	0.897959184	-0.563265306	1.260112199
4.693877551	0.93877551	-0.502040816	1.261469853
4.489795918	0.93877551	-0.551020408	1.262225132
4.591836735	0.87755102	-0.489795918	1.265376273
3.469387755	0.897959184	-0.563265306	1.267650316
4.795918367	0.908163265	-0.526530612	1.267764934
4.693877551	0.867346939	-0.502040816	1.268005082
3.367346939	0.989795918	-0.6	1.276978938
4.591836735	0.887755102	-0.489795918	1.283926092
3.673469388	0.969387755	-0.575510204	1.288261341
3.469387755	0.928571429	-0.563265306	1.288318877
4.693877551	0.857142857	-0.489795918	1.291287588
4.795918367	0.908163265	-0.489795918	1.292948064
4.693877551	0.867346939	-0.47755102	1.293357846
4.489795918	0.908163265	-0.526530612	1.295177382
4.693877551	0.928571429	-0.551020408	1.295486656
4.489795918	0.908163265	-0.514285714	1.297221231
4.489795918	0.948979592	-0.526530612	1.299375675
3.367346939	0.918367347	-0.587755102	1.299621227
4.591836735	0.867346939	-0.489795918	1.30440015
3.367346939	0.959183673	-0.587755102	1.304897794
3.673469388	0.928571429	-0.563265306	1.311206158
3.571428571	0.897959184	-0.575510204	1.312746546
4.489795918	0.918367347	-0.514285714	1.313851322
4.795918367	0.93877551	-0.502040816	1.314356584
4.693877551	0.857142857	-0.47755102	1.318784019
3.571428571	0.948979592	-0.563265306	1.319952381
3.571428571	0.908163265	-0.587755102	1.322587805
4.795918367	0.87755102	-0.502040816	1.324992362
3.469387755	0.887755102	-0.563265306	1.325968737
3.673469388	1	-0.587755102	1.326362756
4.693877551	0.87755102	-0.47755102	1.326750947
3.571428571	0.979591837	-0.575510204	1.326962844
3.673469388	0.918367347	-0.563265306	1.327820975
4.489795918	0.918367347	-0.53877551	1.327857
3.367346939	0.918367347	-0.6	1.329953243
4.693877551	0.87755102	-0.514285714	1.330018159
3.673469388	0.93877551	-0.563265306	1.330304901
3.469387755	0.969387755	-0.575510204	1.331382883
4.591836735	0.867346939	-0.502040816	1.331951531
4.591836735	0.908163265	-0.53877551	1.331996817
3.673469388	0.918367347	-0.575510204	1.334119133
4.489795918	0.897959184	-0.514285714	1.334337097
3.673469388	0.928571429	-0.587755102	1.33760451
3.469387755	0.897959184	-0.587755102	1.339444232
3.775510204	0.989795918	-0.6	1.340013627
4.591836735	0.928571429	-0.502040816	1.340418287
4.591836735	0.87755102	-0.514285714	1.34697179
3.571428571	0.897959184	-0.551020408	1.348323977
4.795918367	0.867346939	-0.489795918	1.350862439
3.571428571	0.887755102	-0.563265306	1.351209997
4.795918367	0.959183673	-0.563265306	1.352426577
3.571428571	0.908163265	-0.551020408	1.352846823
4.795918367	0.979591837	-0.575510204	1.353110245
3.469387755	0.887755102	-0.575510204	1.353498963
3.775510204	1	-0.6	1.354930763
4.591836735	0.897959184	-0.489795918	1.357280809
3.469387755	0.93877551	-0.563265306	1.358171965
3.775510204	0.979591837	-0.6	1.362029835
4.693877551	0.908163265	-0.53877551	1.364462668
4.489795918	0.969387755	-0.575510204	1.368573766
3.469387755	0.908163265	-0.6	1.369753755
3.367346939	0.908163265	-0.587755102	1.372872644
4.795918367	1	-0.587755102	1.374766794
3.469387755	1	-0.587755102	1.376221216
4.795918367	0.93877551	-0.551020408	1.376563871
3.571428571	0.887755102	-0.551020408	1.376627263
3.571428571	0.918367347	-0.6	1.377775839
4.489795918	0.989795918	-0.587755102	1.378545796
3.673469388	0.908163265	-0.563265306	1.379068676
3.367346939	0.969387755	-0.587755102	1.379558574
3.775510204	0.969387755	-0.587755102	1.380717709
4.489795918	0.928571429	-0.514285714	1.38191141
4.795918367	0.887755102	-0.514285714	1.382052774
4.489795918	0.948979592	-0.563265306	1.382787666
3.673469388	0.948979592	-0.563265306	1.383433031
3.673469388	0.979591837	-0.575510204	1.384544692
4.693877551	0.918367347	-0.489795918	1.385591703
3.673469388	0.93877551	-0.6	1.387111004
3.775510204	0.979591837	-0.587755102	1.387497153
3.367346939	1	-0.6	1.387722628
3.367346939	0.918367347	-0.575510204	1.38953704
3.571428571	0.918367347	-0.551020408	1.389685771
4.591836735	0.857142857	-0.489795918	1.396585171
4.489795918	0.979591837	-0.53877551	1.398670692
3.367346939	0.928571429	-0.575510204	1.398943554
4.693877551	0.846938776	-0.47755102	1.400259493
4.489795918	1	-0.551020408	1.402848234
4.795918367	0.867346939	-0.47755102	1.406550092
4.591836735	0.979591837	-0.526530612	1.408017706
4.693877551	0.989795918	-0.526530612	1.408039362
4.591836735	1	-0.53877551	1.40824898
3.367346939	0.908163265	-0.575510204	1.408513578
4.795918367	0.87755102	-0.47755102	1.40950101
3.775510204	0.959183673	-0.587755102	1.409765545
3.469387755	0.87755102	-0.563265306	1.412339354
4.693877551	0.887755102	-0.47755102	1.414385233
3.775510204	0.969387755	-0.6	1.419483337
4.489795918	0.887755102	-0.514285714	1.421367259
4.489795918	0.928571429	-0.551020408	1.423798241
4.489795918	0.897959184	-0.526530612	1.424640601
4.693877551	0.969387755	-0.514285714	1.425392009
3.469387755	0.897959184	-0.551020408	1.425743103
4.795918367	0.918367347	-0.489795918	1.425810335
3.469387755	0.887755102	-0.551020408	1.425866603
3.571428571	0.959183673	-0.563265306	1.427668632
4.795918367	0.918367347	-0.53877551	1.428175464
4.489795918	0.959183673	-0.526530612	1.428529119
3.775510204	0.989795918	-0.587755102	1.429376672
4.387755102	0.979591837	-0.563265306	1.432399138
4.591836735	0.887755102	-0.526530612	1.435014807
3.571428571	0.87755102	-0.551020408	1.436002847
3.367346939	0.93877551	-0.575510204	1.436022103
4.591836735	0.979591837	-0.587755102	1.438248206
4.591836735	0.959183673	-0.575510204	1.438786176
4.489795918	0.887755102	-0.502040816	1.443259223
