Support	U	c1	c2	J_FP	E_Metal	R_Hybrid	OV_Classification
MoO3	1.497187491	0.988426616	0	6.800554297	21.03090427	0.590661659	-1
MoO3	0.510037173	0.982738806	0	5.600495525	17.83570573	0.590661659	1
MoO3	1.120283377	0.997077263	0	5.934528802	13.77804306	0.590661659	-1
MoO3	0.910003684	0.989151623	0	5.916980009	16.70496599	0.590661659	-1
MoO3	1.167639498	0.968915142	0	6.769069256	28.7459834	0.590661659	-1
WO3	1.740100404	1.028867027	0	12.67923342	54.14696502	0.443383748	-1
WO3	1.021974744	1.020510697	0	8.222946497	30.30380799	0.443383748	-1
WO3	0.815602517	1.019521682	0	7.030898146	23.15784207	0.443383748	-1
WO3	1.214195314	1.01384731	0	9.454275125	39.24110135	0.443383748	-1
WO3	0.166613389	1.028972079	0	4.050274794	7.627620149	0.443383748	?
ZrO2	1.219560172	1.279808585	-0.564193087	43.5593928	103.2908414	0.17940971	-1
ZrO2	0.757889791	1.291858652	-0.586396295	16.63744494	87.0517711	0.17940971	-1
ZrO2	1.048467125	1.3	-0.6	16.63744494	87.0517711	0.17940971	-1
ZrO2	1.231214068	1.278897285	-0.527860224	44.22429235	116.4837864	0.17940971	-1
ZrO2	1.482328798	1.285588951	-0.424877689	42.31936503	138.30201	0.17940971	-1
r-TiO2	2.292895094	1.019829384	-0.364549995	7.65568944	7.936990172	0.262619282	-2
r-TiO2	1.305612735	1.012865163	-0.328963755	9.425893331	6.250439986	0.262619282	-2
r-TiO2	0.409576525	1.00977686	-0.310495611	9.73495304	9.916107762	0.262619282	1
r-TiO2	3.296573301	1.036407182	-0.376903969	5.147568137	23.37078558	0.262619282	-2
r-TiO2	2.979899989	1.042958486	-0.300025553	9.304414873	15.74219333	0.262619282	-2
